,C,coef0,gamma,tol
3.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
6.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
11.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
12.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
14.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
15.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
16.0,17378.738025176237,-0.7272530625924228,5.1287361465010435e-05,0.002278672853860697
18.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
20.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
21.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.0022520391668836106
22.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
23.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
24.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
28.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
29.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
31.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
32.0,17378.738025176237,-0.7277050406585441,5.1287361465010435e-05,0.027838610636128747
36.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
37.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
41.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
43.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
45.0,17378.738025176237,-0.727282624914078,5.140050511132934e-05,0.002278672853860697
49.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
53.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
58.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
219.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
2074.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
2079.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3021.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3022.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3481.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3485.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3492.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3493.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
3494.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3510.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.0022942699118727932
3512.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3543.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
3549.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
3560.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3561.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3567.0,17001.417142943308,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3573.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3889.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3891.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3896.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3899.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
3902.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3903.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3904.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3913.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3917.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3918.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3946.0,17378.738025176237,-0.727282624914078,5.125415763567712e-05,0.002278672853860697
3948.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
3954.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
7592.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9914.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9946.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9950.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9952.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9954.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9955.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9956.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9957.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9960.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9964.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
9967.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9968.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9970.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9971.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9976.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9977.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9978.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9979.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9980.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
9981.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9983.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
9985.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
9986.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
10093.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
10101.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
14964.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
14965.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
14966.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
14967.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
14968.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
14969.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
14970.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
34536.0,17408.948765665085,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
34537.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
34538.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
34539.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
125920.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
125921.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
125922.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
125923.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
146195.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
146606.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.002278672853860697
146607.0,17378.738025176237,-0.727282624914078,5.1287361465010435e-05,0.027838610636128747
